ESTACAO;UF;MUNICIPIO;NOME;ESTADO;DATA_ATIVACAO;DATA_ULTIMA_MODIF;LAT;LONG;ENDERE«O;GCN;SITES_INTERNOS;DESCRICAO_SITES_INTERNOS
SDO;GO;GOIANIA;GOIANIA SUDOESTE-SAC;Instalado;2016-08-21 15:07:06 UTC;2021-03-16 15:07:24 UTC;-166965619;-492771167;AVENIDA T 2 Q 55, SN, SETOR BUENO, GOIANIA - GO 74210010;N„o;Sala, Sala, Sala, Sala, Sala, Sala;01, ANDAR/SDO/TT/01, ANDAR/SDO/TT/TX, EST/SDO/NI/NI
SE;AM;MANAUS;SANTA ETELVINA;Instalado;2014-04-05 19:37:30 UTC;2022-06-10 11:20:08 UTC;-29865149;-600175606;RUA JARDIM DO NORTE, 1127, SANTA ETELVINA, MANAUS - AM 69059570;N„o;Sala, Sala, Sala, Sala;Datacom, EQUIPAMENTOS, EST/SE/NI/NI
SEA;MG;BELO HORIZONTE;SENEGAL;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-195515;-435617;0;N„o;0;0
SFCO;ES;CARIACICA;SAO FRANCISCO   ELR;Instalado;2014-04-05 20:45:59 UTC;2022-05-11 17:50:27 UTC;-203445659;-404066816;RUA EDSON BONADIMAN, 93, S FRANCISCO, CARIACICA - ES 29145450 ;N„o;Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EST/SFCO/NI/NI, JAMC2_COMUTACAO_ELR_AXE, Metro, TRANSMISSAO - TERREO
SFO;MA;SAO LUIS;S√ÉO FRANCISCO;Instalado;2019-11-25 20:49:33 UTC;2019-11-25 20:50:13 UTC;-25067811;-442984988;0;N„o;Sala;EST/SFO/NI/NI
SGE;MG;BELO HORIZONTE;SAO GERALDO;Instalado;2014-04-05 20:46:09 UTC;2014-04-05 20:46:09 UTC;-19901293;-438963877;RUA POTUMAIO, 600, SAO GERALDO, BELO HORIZONTE - MG 31050270;N„o;Sala, Sala, Sala, Sala, Sala, Sala;COMUTACAO, Datacom, EST/SGE/NI/NI, Metro, TELEMIG CELULAR, TRANSMISSAO/PRESSURIZACAO
SGO;RJ;SAO GONCALO;SAO GONCALO I;Instalado;2014-04-05 20:53:16 UTC;2019-01-07 16:11:19 UTC;-228268293;-430599942;0;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNI. DADOS 5 ANDAR S.02, DG-1 ANDAR, Datacom, EST/SGO/NI/NI, MODEM OPTICO FICTICIO, Metro, NOF, NOFM, Newbridge, RICD, TRANSMISSAO - 5 ANDAR(SL 508), TRANSMISSAO- 1 ANDAR(SALA127), TRANSMISS√ÉO, TX / 5¬∫ ANDAR
SIO;MG;BELO HORIZONTE;SIO;Instalado;2012-03-23 17:58:24 UTC;2020-11-09 12:12:19 UTC;-199547224;-439381937;RUA COSTA RICA, 102, SION, BELO HORIZONTE - MG 30320030;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;DADOS - ADSL, Datacom, EST/SIO/NI/NI, Metro, Newbridge, Sala 1, TRANSMISSAO/COMUTACAO
SIS;MG;DIAMANTINA;SANTO INACIO SAUDADE;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-181458;-43361;0;N„o;0;0
SJC1;DF;BRASILIA;SJC1;Instalado;2022-11-04 00:00:00 UTC;2022-11-04 00:00:00 UTC;-150147222;-480647222;0;N„o;0;0
SJJ;SC;SAO JOSE;S√ÉO JOSE;Instalado;2023-03-23 17:11:13 UTC;2023-03-23 17:21:41 UTC;-27608183;-486272369;RUA DR CONSTANCIO KRUMMEL, 2247, PRAIA COMPRIDA, SAO JOSE - SC 88103600 ;N„o;Sala;TRANSMISSAO
SJJE;SC;SAO JOSE;S√ÉO JOSE;Instalado;2023-04-24 21:24:44 UTC;2023-05-22 12:01:34 UTC;-275795784;-48677806;0;N„o;0;0
SJMI;MG;SAO JOAO DAS MISSOES;SAO JOAO DAS MISSOES;Instalado;2014-04-05 20:45:37 UTC;2014-04-05 20:45:37 UTC;-148805556;-440825;RUA PRESIDENTE VARGAS, SN, CENTRO, SAO JOAO DAS MISSOES - MG 39475000;N„o;Sala, Sala, Sala;Datacom, TRANSMISSAO - TERREO
SJRB;PR;SAO JOSE DOS PINHAIS;S√ÉO JOSE DOS PINHAIS -  RIO BRANCO;Instalado;2018-12-03 17:55:30 UTC;2019-03-20 13:17:07 UTC;-255367292;-492000539;RUA VSC DO RIO BRANCO, 1839, CENTRO, SAO JOSE DOS PINHAIS - PR 83005420;N„o;Sala, Sala, Sala, Sala;ANDAR/SJRB/TT/01, ANDAR/SJRB/TT/TX, EST/SJRB/NI/NI
SJRL;PI;SAO JOAO DO ARRAIAL;SAO JOAO DO ARRAIAL;Instalado;2014-04-05 19:37:32 UTC;2014-04-05 19:37:32 UTC;-38188889;-424461111;0;N„o;Sala;CENTRAL
SLA;MG;SETE LAGOAS;SETE LAGOAS;Instalado;2014-04-05 20:46:03 UTC;2019-04-25 20:20:22 UTC;-194651507;-442466898;RUA ILKA FRANCA, 130, CENTRO, SETE LAGOAS - MG 35700036;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EST/SLA/NI/NI, HUAWEI - NGN, Metro, Newbridge, RMS, SLA01_COMUTACAO-AXE, TERREO - SALA 1, TRANSMISSAO, TRANSMISSAO - TERREO, TRANSMISS√ÉO - 1¬∞ AND
SLE;MG;JUIZ DE FORA;SANTA LUCIA II;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-214551;-43211;0;N„o;0;0
