ESTACAO;UF;MUNICIPIO;NOME;SISTEMA_ORIGEM;ESTADO;DATA_ATIVACAO;DATA_ULTIMA_MODIF;LAT;LONG;ENDERE�O;GCN;SITES_INTERNOS;DESCRICAO_SITES_INTERNOS
CIK;MG;BETIM;CITROLANDIA;Netwin;Instalado;2014-04-05 20:46:10 UTC;2014-04-05 20:46:10 UTC;-200.250.966;-442.301.152;AVENIDA DOUTOR JOSE MARIANO, 198, CITROLANDIA, BETIM - MG 32641834;Não;Sala, Sala, Sala, Sala;Datacom, EST/CIK/NI/NI, Metro, PCM
FDI;MG;BETIM;FERNAO DIAS;Netwin;Instalado;2014-04-05 20:46:10 UTC;2022-06-13 10:47:36 UTC;-199.600.888;-441.598.022;RUA DOMINGOS BELEM, 62, DOM BOSCO, BETIM - MG 32670508 ;Não;Sala, Sala, Sala, Sala, Sala;Datacom, EST/FDI/NI/NI, Metro, Newbridge, TRANSMISSAO - TERREO
AGVY;SC;BLUMENAU;AGUA VERDE - BLUMENAU;Netwin;Instalado;2016-08-21 15:07:06 UTC;2020-05-26 14:30:54 UTC;-269.058.892;-491.311.394;RUA GEN OSORIO, 3927, AGUA VERDE, BLUMENAU - SC 89042001 ;Não;Sala, Sala, Sala;ANDAR/AGVY/TT/001, ANDAR/AGVY/TT/01
BPGS;SC;BLUMENAU;BPGS;Netwin;Instalado;2022-11-04 00:00:00 UTC;2023-12-21 00:21:35 UTC;-269.194.444;-490.661.111;;Não;Sala;ANDAR/BPGS/TT/001
ITSC;SC;BLUMENAU;ITOUPAVA SECA;Netwin;Instalado;2020-02-11 17:11:38 UTC;2020-02-11 17:14:06 UTC;-268.928.287;-490.851.577;RUA ENG PAUL WERNER, 1250, ITOUPAVA SECA, BLUMENAU - SC 89030101 ;Não;Sala, Sala, Sala, Sala, Sala;ANDAR/ITSC/TT/001, ANDAR/ITSC/TT/01, ANDAR/ITSC/TT/TX, EST/ITSC/NI/NI
IVCC;SC;BLUMENAU;ITOUPAVA CENTRAL;Netwin;Instalado;2020-05-06 17:53:01 UTC;2020-05-08 14:13:00 UTC;-268.092.376;-490.877.229;RUA GUSTAVO ZIMMERMANN, 4080, ITOUPAVA CENTRAL, BLUMENAU - SC 89063000;Não;Sala, Sala, Sala;ANDAR/IVCC/TT/002, EST/IVCC/NI/NI
KARS;SC;BLUMENAU;KARSTEN;Netwin;Instalado;2016-08-21 15:07:06 UTC;2022-09-19 20:34:06 UTC;-268.531.398;-491.543.129;RUA FRANCISCO CORREA, 244, TESTO SALTO, BLUMENAU - SC 89074160 ;Não;Sala, Sala;ANDAR/KARS/TT/001, EQ
VAIA;SC;BLUMENAU;VILA ITOUPAVA - VAIA;Netwin;Instalado;2016-08-21 15:07:06 UTC;2021-10-14 13:38:15 UTC;-267.261.398;-490.686.935;RUA PAULO EUGENIO SCHLEGEL, 253, VILA ITOUPAVA, BLUMENAU - SC 89075455 ;Não;Sala, Sala, Sala;1, ANDAR/VAIA/TT/001, EST/VAIA/NI/NI
BT;RR;BOA VISTA;BURITIS;Netwin;Instalado;2014-04-05 19:37:25 UTC;2023-12-20 12:57:49 UTC;28.224.576;-607.067.236;RUA JOAO PADEIRO, 1732, BURITIS, BOA VISTA - RR 69309195 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;7IP BT_COMUTACAO_TROPICO, BTO01_COMUTACAO-TGW7510, Datacom, EST/BT/NI/NI, HUAWEI - NGN, MPI, Metro, Newbridge, RMS, SATELITE - TERREO, TRANSMISSAO, TRANSMISSAO - TERREO, TRANSMISSÃƒO
CE;RR;BOA VISTA;CENTRO DE BOA VISTA;Netwin;Instalado;2014-04-05 19:37:25 UTC;2023-12-20 13:05:29 UTC;28.228.693;-606.740.176;AVENIDA CAPITAO ENE GARCEZ, 130, CENTRO, BOA VISTA - RR 69301161 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;7IP CE_COMUTACAO_TROPICO, CE001_COMUTACAO_TROPICO RA, Datacom, EST/CE/NI/NI, Metro, Newbridge, REDE MÃ“VEL, RMS, TRANSMISSAO - 1 ANDAR, Transmissão
ETBZ;DF;BRASILIA;BRAZLÃ‚NDIA;Netwin;Instalado;2022-05-18 20:20:10 UTC;2022-10-31 20:54:11 UTC;-156.816.851;-481.959.763;QUADRA 1 R A, 0, SETOR NORTE, BRASILIA - DF 72705011 ;Não;Sala, Sala, Sala, Sala;ANDAR/ETBZ/TT/00, ANDAR/ETBZ/TT/TX, ANDAR/ETBZ/TT/TX-
