ESTACAO;UF;MUNICIPIO;NOME;SISTEMA_ORIGEM;ESTADO;DATA_ATIVACAO;DATA_ULTIMA_MODIF;LAT;LONG;ENDERE�O;GCN;SITES_INTERNOS;DESCRICAO_SITES_INTERNOS
CAS1;SP;CAMPINAS;OI JARDIM EULINA;Arquivo Eletrônico;Instalado;2018-02-24 23:06:48 UTC;2023-12-20 11:15:48 UTC;-22.882.646;-471.151.268;RUA MARIO JUNQUEIRA DA SILVA, 1600, JARDIM EULINA, CAMPINAS - SP 13063000 ;Sim;Sala, Sala;EST/CAS1/NI/NI, SALA TX
CPCE;MS;CAMPO GRANDE;RUI BARBOSA;Arquivo Eletrônico;Instalado;2018-02-24 23:06:49 UTC;2023-12-20 12:01:47 UTC;-204.588.519;-546.145.664;RUA RUI BARBOSA, 3040, CENTRO, CAMPO GRANDE - MS 79002953 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/CPCE/5CD/191, ANDAR/CPCE/5CD/197-CD 3G, ANDAR/CPCE/5TT/192, ANDAR/CPCE/5TX/178, ANDAR/CPCE/5TX/192, ANDAR/CPCE/TT/DS, ComutaÃ§ão, EST/CPCE/NI/NI, MOVEL, SMP
CPMO;MS;CAMPO GRANDE;MORENAO;Arquivo Eletrônico;Instalado;2020-03-14 22:10:51 UTC;2022-11-07 17:41:46 UTC;-205.202.782;-546.002.789;RUA ELESBAO MURTINHO, 299, UNIVERSITARIO, CAMPO GRANDE - MS 79071203 ;Não;Sala, Sala, Sala;ANDAR/CPMO/2TX/41, EST/CPMO/NI/NI
CPNL;MS;CAMPO GRANDE;NOVA LIMA;Arquivo Eletrônico;Instalado;2022-04-26 18:09:44 UTC;2022-04-27 21:49:00 UTC;-204.187.273;-545.696.434;RUA MIGUEL SEBA, 645, VILA MATA DO JACINTO, CAMPO GRANDE - MS 79033150 ;Não;Sala, Sala, Sala, Sala;ANDAR/CPNL/TT/1CD, ANDAR/CPNL/TT/1TX, EST/CPNL/NI/NI
CCO;SC;CHAPECO;CHAPECO;Arquivo Eletrônico;Instalado;2018-12-14 12:32:18 UTC;2023-12-20 11:16:54 UTC;-271.014.593;-526.158.998;RUA MAL JOSE B. BORMANN-D, 72, CENTRO, CHAPECO - SC 89802120 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/CCO/01/20 CD, ANDAR/CCO/01/20 TX, ANDAR/CCO/TT/01, ANDAR/CCO/TT/010 TX, EST/CCO/NI/NI
CBFB;PR;COLOMBO;FRANCISCO BONATO;Arquivo Eletrônico;Instalado;2019-04-18 17:00:55 UTC;2020-07-08 18:34:24 UTC;-252.928;-492.253;RUA PE FRANCISCO BONATO, 33, CENTRO, COLOMBO - PR 83414170 ;Não;Sala, Sala, Sala;ANDAR/CBFB/TT/01, ANDAR/CBFB/TT/TX
CBGT;PR;COLOMBO;GUARAITUBA - RUA COIMBRA 500;Arquivo Eletrônico;Instalado;2016-08-21 15:07:06 UTC;2019-02-23 20:33:25 UTC;-25.350.276;-49.175.112;RUA COIMBRA, 500, SANTA TEREZINHA, COLOMBO - PR 83408640 ;Não;Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/CBGT/TT/01, ANDAR/CBGT/TT/TX, EST/CBGT/NI/NI
CUA;SC;CRICIUMA;CRICIUMA;Arquivo Eletrônico;Instalado;2018-12-14 12:48:36 UTC;2019-11-25 14:52:37 UTC;-286.757.304;-493.705.948;AVENIDA GETULIO VARGAS, 222, CENTRO, CRICIUMA - SC 88801500 ;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/CUA/003/001 TX, ANDAR/CUA/003/302-TX, ANDAR/CUA/003/313 TX, ANDAR/CUA/02/CD, ANDAR/CUA/03/312 CD-EBT, EST/CUA/NI/NI
ECOX;MT;CUIABA;TEL COXIPO DA PTE;Arquivo Eletrônico;Instalado;2022-06-06 18:37:12 UTC;2023-12-20 12:07:37 UTC;-156.310.004;-560.541.242;RUA ADAUTO BOTELHO, SN, Central OI, COXIPO, CUIABA - MT 78085200 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/ECOX/01/01, ANDAR/ECOX/01/DT, ANDAR/ECOX/02/TX, ANDAR/ECOX/03/03, ANDAR/ECOX/TT/01, ANDAR/ECOX/TT/DT, ANDAR/ECOX/TT/RDCN
ECOX;MT;CUIABA;TEL COXIPO DA PTE;Arquivo Eletrônico;Instalado;2018-02-24 23:06:49 UTC;2022-06-10 19:05:44 UTC;-15.596.544;-56.097.102;RUA ADAUTO BOTELHO, SN, COXIPO, CUIABA - MT 78085200 ;Não;Sala, Sala, Sala;01, EST/ECOX/NI/NI, GSM
CTBQ;PR;CURITIBA;CURITIBA;Arquivo Eletrônico;Instalado;2022-07-28 22:00:59 UTC;2022-09-27 13:38:07 UTC;-254.854.595;-492.437.387;RUA ANNE FRANK, 2183, BOQUEIRAO, CURITIBA - PR 81650020 ;Não;Sala, Sala, Sala, Sala;ANDAR/CTBQ/01/TX, ANDAR/CTBQ/02/TXD, ANDAR/CTBQ/TT/01
CTCJ;PR;CURITIBA;CURITIBA/CAJURU;Arquivo Eletrônico;Instalado;2018-12-14 12:23:30 UTC;2019-01-03 12:24:22 UTC;-254.479.221;-492.206.209;RUA LUIZ FRANCA, 1170, CAJURU, CURITIBA - PR 82940090;Não;Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/CTCJ/02/TX, ANDAR/CTCJ/TT/01, ANDAR/CTCJ/TT/TXD, EST/CTCJ/NI/NI
CTTN;PR;CURITIBA;CENTENARIO;Arquivo Eletrônico;Instalado;2016-08-21 15:07:06 UTC;2019-03-20 18:35:26 UTC;-254.659.305;-49.207.697;RUA JORDANIA, 641, CAJURU, CURITIBA - PR 82960010 ;Não;Sala;ANDAR/CTTN/TT/TX
DOCE;MS;DOURADOS;DOURADOS;Arquivo Eletrônico;Instalado;2018-02-24 23:06:48 UTC;2023-12-20 12:03:35 UTC;-22.225.295;-548.073.807;RUA CAMILO ERMELINDO DA SILVA, 705, VILA PLANALTO, DOURADOS - MS 99999999 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/DOCE/2CD/125, ANDAR/DOCE/2TX/125, ANDAR/DOCE/2TX_2/1, ANDAR/DOCE/CD/01, EST/DOCE/NI/NI
ESRT;SC;FLORIANOPOLIS;ESTREITO;Arquivo Eletrônico;Instalado;2018-12-11 17:32:38 UTC;2023-12-20 13:08:20 UTC;-275.926.728;-485.854.589;RUA PROF BARREIROS FILHO, 455, ESTREITO, FLORIANOPOLIS - SC 88070350 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/ESRT/01/224 TX, ANDAR/ESRT/01/DADOS 101, ANDAR/ESRT/01/DADOS NOVA, ANDAR/ESRT/01/TX, ANDAR/ESRT/TT/001, ANDAR/ESRT/TT/002 CD, ANDAR/ESRT/TT/124 TX, DADOS, EST/ESRT/NI/NI
FNS;SC;FLORIANOPOLIS;FLORIANOPOLIS;Arquivo Eletrônico;Instalado;2018-12-14 19:02:11 UTC;2023-12-20 11:26:31 UTC;-275.951.191;-485.493.031;RUA STOS DUMONT, 139, CENTRO, FLORIANOPOLIS - SC 88015020 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/FNS/01/025 TX, ANDAR/FNS/03/TX, ANDAR/FNS/04/CD, ANDAR/FNS/04/TX, ANDAR/FNS/TT/001, EST/FNS/NI/NI, SMP, TX NOVA, TX-DADOS
MEVD;SC;FLORIANOPOLIS;MONTE VERDE;Arquivo Eletrônico;Instalado;2022-07-11 11:58:15 UTC;2023-02-01 18:51:55 UTC;-275.568.907;-484.976.052;RODOVIA VIRGILIO VARZEA, 1, SACO GRANDE, FLORIANOPOLIS - SC 88032001 ;Não;Sala, Sala, Sala;ANDAR/MEVD/TT/001, ANDAR/MEVD/TT/TX
TRDE;SC;FLORIANOPOLIS;TRINDADE;Arquivo Eletrônico;Instalado;2019-11-12 16:42:58 UTC;2023-08-20 16:51:23 UTC;-275.939.141;-485.209.888;RUA LAURO LINHARES, 1729, TRINDADE, FLORIANOPOLIS - SC 88036003 ;Não;Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/TRDE/TT/002, ANDAR/TRDE/TT/016 TX, ANDAR/TRDE/TT/018 TX, EST/TRDE/NI/NI, GPON, TX
CEN;CE;FORTALEZA;CENTRO-FORTALEZA;Arquivo Eletrônico;Instalado;2018-02-24 23:06:48 UTC;2023-12-20 12:21:28 UTC;-3.729.905;-385.256.833;RUA SENA MADUREIRA, 1020, CENTRO, FORTALEZA - CE 60055080 ;Sim;Sala, Sala, Sala, Sala;EST/CEN/NI/NI, SALA IPTV - 1Âº ANDAR, TRANSMISSÃƒO
FOIT;PR;FOZ DO IGUACU;FOIT/FOZ DO IGUAÃ‡U - ITAIPU;Arquivo Eletrônico;Instalado;2018-12-14 13:20:29 UTC;2020-07-03 10:23:05 UTC;-255.171.047;-545.698.156;AVENIDA JOSE MARIA DE BRITO, 2425, JARDIM DAS NACOES, FOZ DO IGUACU - PR 85864320;Não;Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/FOIT/01/ROUTER, ANDAR/FOIT/01/TXD, ANDAR/FOIT/TT/01, ANDAR/FOIT/TT/BPX, EST/FOIT/NI/NI
SUL;GO;GOIANIA;SUL GOIÃ‚NIA;Arquivo Eletrônico;Instalado;2017-10-06 00:00:00 UTC;2020-03-26 12:39:04 UTC;-166.965.413;-492.545.529;AVENIDA 136 Q F44, SN, LOTE 22/24, SETOR SUL, GOIANIA - GO 74093250 ;Não;Sala, Sala, Sala, Sala;ANDAR/SUL/TT/01, ANDAR/SUL/TT/TX, EST/SUL/NI/NI
TLG;GO;GOIANIA;GoiÃ¢nia CAEL;Arquivo Eletrônico;Instalado;2017-10-06 00:00:00 UTC;2020-08-12 14:19:37 UTC;-167.211.599;-492.398.174;;Não;Sala, Sala, Sala, Sala;ANDAR/TLG/TT/01-CALL I, ANDAR/TLG/TT/02-CALL II, ANDAR/TLG/TT/TX, EST/TLG/NI/NI
IUS;GO;INHUMAS;INHUMAS;Arquivo Eletrônico;Instalado;2020-04-06 12:30:05 UTC;2023-02-17 12:42:52 UTC;-163.579.119;-494.961.352;;Não;Sala, Sala;ANDAR/IUS/TT/01, INHUMAS
IAI;SC;ITAJAI;ITAJAÃ;Arquivo Eletrônico;Instalado;2018-12-13 12:06:22 UTC;2020-02-03 11:58:45 UTC;-269.084.092;-486.633.772;RUA JOAO BAUER, 46, CENTRO, ITAJAI - SC 88301500 ;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/IAI/01/001 IGX, ANDAR/IAI/02/001 TX, ANDAR/IAI/02/CD, ANDAR/IAI/TT/001, ANDAR/IAI/TT/01, EST/IAI/NI/NI, Sala de Transmissão 2
JTI;GO;JATAI;JATAI-SAC;Arquivo Eletrônico;Instalado;2021-07-08 22:13:55 UTC;2021-07-23 19:06:22 UTC;-1.788.312;-51.717.122;AVENIDA STA  CATARINA Q 1A, 880, S SANTA MARIA, JATAI - GO 75807641;Não;Sala, Sala, Sala;ANDAR/JTI/TT/01, ANDAR/JTI/TT/1
EJIP;RO;JI PARANA;ESTACAO JI-PARANA;Arquivo Eletrônico;Instalado;2018-02-24 23:06:48 UTC;2023-12-20 12:10:34 UTC;-108.807.772;-619.458.429;RUA VILAGRAN CABRITA, 1276, CENTRO, JI PARANA - RO 76900044 ;Sim;Sala, Sala, Sala, Sala, Sala;ANDAR/EJIP/03/BACKBONE, ANDAR/EJIP/03/TX, EST/EJIP/NI/NI
JAI;SP;JUNDIAI;VTAL JARDIM DO LAGO;Arquivo Eletrônico;Instalado;2022-08-08 18:54:07 UTC;2023-01-05 14:14:34 UTC;-232.147.296;-468.587.726;AVENIDA SAMUEL MARTINS, 1794, JARDIM DO LAGO, JUNDIAI - SP 13203630 ;Não;Sala;SALA TX
LJO;RS;LAJEADO;LAJEADO;Arquivo Eletrônico;Instalado;2022-07-28 23:01:50 UTC;2023-01-27 19:00:31 UTC;-294.596.369;-519.695.835;AVENIDA BENJAMIN CONSTANT, 1400, CENTRO, LAJEADO - RS 95900056 ;Não;Sala, Sala, Sala;ANDAR/LJO/01/TX
MOS;PR;MATINHOS;MATINHOS;Arquivo Eletrônico;Instalado;2022-09-26 19:03:37 UTC;2022-10-18 20:33:03 UTC;-258.104.324;-485.333.203;RUA 19 DE DEZEMBRO, SN, BAL RIVIERA, MATINHOS - PR 83260000;Não;Sala, Sala;ANDAR/MOS/TT/01
EOPO;RO;OURO PRETO DO OESTE;OURO PRETO DO OESTE;Arquivo Eletrônico;Instalado;2022-05-06 19:08:34 UTC;2022-11-09 20:00:25 UTC;-107.204.819;-622.603.911;AVENIDA 15 DE NOVEMBRO, 1015, UNIAO, OURO PRETO DO OESTE - RO 76920000 ;Não;Sala, Sala;ANDAR/EOPO/TT/TX
PAC;SC;PALHOCA;PALHOÃ‡A;Arquivo Eletrônico;Instalado;2022-11-01 13:02:30 UTC;2023-11-03 19:12:37 UTC;-27.649.382;-486.672.449;RUA VINTE E QUATRO DE ABRIL, 3100, CENTRO, PALHOCA - SC 88131030 ;Não;Sala, Sala, Sala;ANDAR/PAC/TT/001, FTTS TIM
EDPO;RO;PORTO VELHO;ESTACAO DOM PEDRO;Arquivo Eletrônico;Instalado;2018-02-24 23:06:48 UTC;2023-12-20 12:11:48 UTC;-87.614.133;-639.000.974;RUA D PEDRO II, 1213, CENTRO, PORTO VELHO - RO 76801103 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/EDPO/01/IP, ANDAR/EDPO/01/TX, ANDAR/EDPO/02/ATM_IP, ANDAR/EDPO/02/METRO, ANDAR/EDPO/03/BACKBONE, ANDAR/EDPO/03/METRO, ANDAR/EDPO/03/TX, ANDAR/EDPO/TT/TX, EST/EDPO/NI/NI, TX
RBCE;AC;RIO BRANCO;ESTACAO RIO BRANCO CENTRO;Arquivo Eletrônico;Instalado;2018-02-24 23:06:48 UTC;2023-12-20 11:55:06 UTC;-99.735.331;-678.081.362;AVENIDA BRASIL, SN, CENTRO, RIO BRANCO - AC 69900078 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/RBCE/1MCP 15, ANDAR/RBCE/TE/DA, ANDAR/RBCE/TT/BACKBONE, ANDAR/RBCE/TT/TX, EST/RBCE/NI/NI, SMP
RBCR;AC;RIO BRANCO;ESTACAO RIO BRANCO CORRENTE;Arquivo Eletrônico;Instalado;2021-08-05 17:21:03 UTC;2021-10-02 13:40:33 UTC;-100.142.155;-677.982.666;RODOVIA AC 40, 420, LTM STA HELENA, RIO BRANCO - AC 69908640 ;Não;Sala, Sala, Sala, Sala, Sala;ANDAR/RBCR/TE/CEN, ANDAR/RBCR/TE/TX, ANDAR/RBCR/TT/TX, EST/RBCR/NI/NI
RSL;SC;RIO DO SUL;RIO DO SUL;Arquivo Eletrônico;Instalado;2018-12-14 18:40:02 UTC;2019-06-24 11:23:06 UTC;-27.219.367;-496.458.262;RUA XV DE NOVEMBRO, 142, CENTRO, RIO DO SUL - SC 89160033 ;Não;Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/RSL/01/026, ANDAR/RSL/01/CD, ANDAR/RSL/01/TX, EST/RSL/NI/NI
ERMM;RO;ROLIM DE MOURA;ERMM;Arquivo Eletrônico;Instalado;2021-06-10 14:17:19 UTC;2021-07-19 20:21:20 UTC;-117.291.123;-617.789.443;AVENIDA MACAPA, 5165, CENTRO, ROLIM DE MOURA - RO 76940000 ;Não;Sala, Sala;ANDAR/ERMM/TT/TX
EROI;MT;RONDONOPOLIS;TEL CENTRO RONDONOPOLIS;Arquivo Eletrônico;Instalado;2018-02-24 23:06:49 UTC;2023-12-20 12:09:15 UTC;-164.709.317;-546.337.273;AVENIDA MAL DUTRA, 920, CENTRO, RONDONOPOLIS - MT 78700110 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/EROI/1/3, ANDAR/EROI/TT/01, ANDAR/EROI/TT/02, ANDAR/EROI/TT/CD, ANDAR/EROI/TT/METRO, ANDAR/EROI/TT/REDE DCN, EST/EROI/NI/NI
ROI1;MT;RONDONOPOLIS;SMP ROI1;Arquivo Eletrônico;Instalado;2018-02-25 01:28:18 UTC;2019-04-17 14:54:08 UTC;-164.708.796;-546.337.038;;Não;Sala;
UBAT;SC;SAO FRANCISCO DO SUL;UBATUBA;Arquivo Eletrônico;Instalado;2022-01-25 16:51:27 UTC;2022-02-01 21:11:26 UTC;-262.097.682;-485.270.052;RODOVIA DQ DE CAXIAS, SN, UBATUBA, SAO FRANCISCO DO SUL - SC 89240000 ;Não;Sala, Sala, Sala;ANDAR/UBAT/TT/001
SJC1;SP;SAO JOSE DOS CAMPOS;OI CENTRO;Arquivo Eletrônico;Instalado;2018-02-24 23:06:49 UTC;2023-01-24 12:20:36 UTC;-231.903.647;-458.869.203;RUA HUMAITA, 468, CENTRO, SAO JOSE DOS CAMPOS - SP 12245810 ;Não;Sala, Sala;EST/SJC1/NI/NI, SALA TX
SJRB;PR;SAO JOSE DOS PINHAIS;SÃƒO JOSE DOS PINHAIS -  RIO BRANCO;Arquivo Eletrônico;Instalado;2018-12-03 17:55:30 UTC;2019-03-20 13:17:07 UTC;-255.367.292;-492.000.539;RUA VSC DO RIO BRANCO, 1839, CENTRO, SAO JOSE DOS PINHAIS - PR 83005420;Não;Sala, Sala, Sala, Sala;ANDAR/SJRB/TT/01, ANDAR/SJRB/TT/TX, EST/SJRB/NI/NI
ANL;MA;SAO LUIS;ANIL;Arquivo Eletrônico;Instalado;2018-02-24 23:06:48 UTC;2023-12-20 12:26:41 UTC;-25.525.981;-442.246.506;RUA HERMENEGILDO, 86, AURORA, SAO LUIS - MA 65060190 ;Sim;Sala, Sala, Sala;EST/ANL/NI/NI
ESNO;MT;SINOP;TEL SINOP;Arquivo Eletrônico;Instalado;2018-02-24 23:06:49 UTC;2020-07-04 19:51:15 UTC;-118.538.837;-55.500.741;AVENIDA DAS FIGUEIRAS, 680, JARDIM ITALIA III, SINOP - MT 78555492;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/ESNO/01/01, ANDAR/ESNO/01/02, ANDAR/ESNO/TT/01, ANDAR/ESNO/TT/METRO, ANDAR/ESNO/TT/RDT, ANDAR/ESNO/TT/REDE DCN, EST/ESNO/NI/NI
SOC;SP;SOROCABA;OI CENTRO;Arquivo Eletrônico;Instalado;2018-02-24 23:06:49 UTC;2022-06-03 15:26:04 UTC;-235.034.574;-474.625.438;;Não;Sala;EST/SOC/NI/NI
TDA;GO;TRINDADE;TRINDADE-SAC;Arquivo Eletrônico;Instalado;2021-08-07 19:36:39 UTC;2021-08-07 19:43:57 UTC;-166.563.373;-494.902.718;RUA DR IRANI A FERREIRA, 45, S CENTRAL, TRINDADE - GO 75388716;Não;Sala, Sala;ANDAR/TDA/TT/01
TRO;SC;TUBARAO;TUBARAO;Arquivo Eletrônico;Instalado;2018-12-14 12:46:44 UTC;2019-11-25 17:54:36 UTC;-284.810.022;-490.114.642;AVENIDA JOSE ACACIO MOREIRA, 1591, DEHON, TUBARAO - SC 99999999 ;Não;Sala, Sala, Sala, Sala, Sala;ANDAR/TRO/TT/001 TX, ANDAR/TRO/TT/002, ANDAR/TRO/TT/CD, DS, EST/TRO/NI/NI
SPS;RS;SAPUCAIA DO SUL;Sapucaia do Sul;Arquivo em Papel;Instalado;2022-03-28 17:40:59 UTC;2022-11-12 13:34:31 UTC;-298.289.263;-511.550.872;RUA JOSE FELIPPE, 555, PRIMOR, SAPUCAIA DO SUL - RS 93220610 ;Não;Sala, Sala, Sala;ANDAR/SPS/01/TX, ANDAR/SPS/TT/TX
AIU;PA;ANANINDEUA;AIU;Netwin;Em Projeto;2023-02-06 13:28:21 UTC;2023-03-24 19:17:09 UTC;-13.660.336;-483.740.105;;Não;;
REAL;SP;CAMPINAS;VTAL REAL FTTH;Netwin;Em Projeto;2023-02-09 16:47:32 UTC;2023-04-05 19:00:27 UTC;-228.205.588;-471.013.437;;Não;Sala;SALA TX
DQS;RJ;DUQUE DE CAXIAS;DQS;Netwin;Em Projeto;2023-02-17 18:15:58 UTC;2023-03-28 13:01:06 UTC;-226.457.505;-432.830.178;;Não;;
ESB1;CE;EUSEBIO;ESTAÇÃO;Netwin;Em Projeto;2019-02-13 12:49:26 UTC;2019-02-13 13:03:24 UTC;-38.545.404;-384.540.148;RUA DO CRUZEIRO, 999, COACU, EUSEBIO - CE 61760000;Não;;
EAGL;GO;AGUAS LINDAS DE GOIAS;AGUAS LINDAS CENTRO;Geoplex;Instalado;2019-11-13 12:00:43 UTC;2019-11-29 17:25:57 UTC;-157.536.857;-482.571.018;QUADRA 6, SN, JARDIM QUERENCIA, AGUAS LINDAS DE GOIAS - GO 72910762 ;Não;Sala, Sala, Sala, Sala;ANDAR/EAGL/A/1, ANDAR/EAGL/TT/TX, EST/EAGL/NI/NI
BJK;GO;ANAPOLIS;ANAPOLIS BRO JK-SAC;Geoplex;Instalado;2021-12-13 12:58:11 UTC;2021-12-13 14:00:25 UTC;-163.452.691;-489.384.796;RUA 8 Q 25, SN, Lote 21/22, JK PQ IND NOVA CAPIT, ANAPOLIS - GO 75114275;Não;Sala, Sala;ANDAR/BJK/TT/01
ETMS;DF;BRASILIA;TEL SANTA MARIA SUL - ETMS;Geoplex;Instalado;2016-08-21 15:07:06 UTC;2020-12-16 16:17:34 UTC;-16.032.265;-480.332.604;QUADRA CL 204, SN, SANTA MARIA, BRASILIA - DF 72504220 ;Não;Sala, Sala, Sala;ANDAR/ETMS/TT/TX, EST/ETMS/NI/NI, TX
ETPA;DF;BRASILIA;TEL PARANOA;Geoplex;Instalado;2022-01-20 12:58:13 UTC;2022-02-17 20:00:26 UTC;-157.779.599;-477.811.244;PRACA CENTRAL, 000, PARANOA, BRASILIA - DF 71570050 ;Não;Sala, Sala, Sala;ANDAR/ETPA/TT/01, ANDAR/ETPA/TT/TX
ETSO;DF;BRASILIA;TEL SUL OESTE;Geoplex;Instalado;2018-10-20 18:29:02 UTC;2018-10-20 18:33:08 UTC;-158.260.775;-479.153.915;;Não;Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/ETSO/TT/02, ANDAR/ETSO/TT/CD, ANDAR/ETSO/TT/METRO, ANDAR/ETSO/TT/TX, EST/ETSO/NI/NI, TX
CNCL;PR;CIANORTE;CIANORTE;Geoplex;Instalado;2022-03-18 19:17:55 UTC;2022-07-13 20:49:55 UTC;-236.605.563;-526.112.237;AVENIDA BRASIL, 241, ZONA 1, CIANORTE - PR 87200175 ;Não;Sala, Sala, Sala;ANDAR/CNCL/TT/01, ANDAR/CNCL/TT/TX, SALA DE TRANSMISSÃƒO
ERE;RS;ERECHIM;ERECHIM;Geoplex;Instalado;2022-03-08 12:15:25 UTC;2022-03-08 12:18:10 UTC;-276.341.895;-522.735.451;AVENIDA TIRADENTES, 10, CENTRO/ESPERANCA, ERECHIM - RS 99700424 ;Não;Sala, Sala, Sala, Sala;ANDAR/ERE/01/TX, ANDAR/ERE/02/CD, ANDAR/ERE/TT/CD, SALA DE DADOS
EFRM;GO;FORMOSA;FORMOSA;Geoplex;Instalado;2022-05-23 11:17:18 UTC;2022-06-28 18:18:40 UTC;-155.392.434;-473.375.925;RUA VSC DE PORTO SEGURO, 825, VILA SANTOS, FORMOSA - GO 73801970 ;Não;Sala, Sala;ANDAR/EFRM/TT/TX
GRCE;PR;GUARATUBA;GUARATUBA;Geoplex;Instalado;2021-07-29 18:15:38 UTC;2021-07-29 18:18:31 UTC;-258.778.559;-485.739.051;RUA JOSE NICOLAU ABAGGE, 282, CENTRO, GUARATUBA - PR 83280000 ;Não;Sala, Sala, Sala, Sala;ANDAR/GRCE/TT/01, ANDAR/GRCE/TT/TXD, COMUTAÃ‡ÃƒO, EST/GRCE/NI/NI
LVD;PR;LONDRINA;LONDRINA;Geoplex;Instalado;2023-03-23 13:24:32 UTC;2023-03-23 13:26:32 UTC;-232.809.503;-511.746.623;RUA UGANDA, SN, OURO VERDE, LONDRINA - PR 86080030 ;Não;Sala, Sala;
ELZL;GO;LUZIANIA;EstaÃ§ão LuziÃ¢nia;Geoplex;Instalado;2022-03-15 13:48:56 UTC;2022-04-25 20:23:16 UTC;-162.414.833;-479.079.958;RUA NATANAEL DANTAS Q 180, 503, PRQ EST DALVA III, LUZIANIA - GO 72831020 ;Não;Sala, Sala;ANDAR/ELZL/TT/TX
EPBW;RO;PIMENTA BUENO;PIMENTA BUENO;Geoplex;Instalado;2022-03-11 21:34:12 UTC;2022-05-03 13:25:00 UTC;-116.757.972;-611.859.397;RUA ROLIM DE MOURA, 336, PIONEIROS, PIMENTA BUENO - RO 76970000 ;Não;Sala, Sala, Sala;ANDAR/EPBW/TT/BACKBONE, ANDAR/EPBW/TT/TX
EPWL;GO;PLANALTINA;PLANALTINA DE GOIAS;Geoplex;Instalado;2021-06-16 14:39:18 UTC;2021-07-20 19:31:49 UTC;-154.514.532;-476.158.334;PRACA JURANDIR C BOA VENTURA, 145, SETOR OESTE, PLANALTINA - GO 73752971 ;Não;Sala, Sala;ANDAR/EPWL/TT/TX
ESAD;GO;SANTO ANTONIO DO DESCOBERTO;SANTO ANTÃ”NIO DO DESCOBERTO;Geoplex;Instalado;2021-06-24 13:01:25 UTC;2021-09-24 14:47:51 UTC;-159.440.658;-482.584.555;QUADRA 21, 0000, CENTRO, SANTO ANTONIO DO DESCOBERTO - GO 72900342 ;Não;Sala, Sala, Sala;ANDAR/ESAD/TT/01, ANDAR/ESAD/TT/TX
ESB1;CE;EUSEBIO;TRANSMISSÃƒO;Geosite;Instalado;2019-02-13 13:49:49 UTC;2019-02-13 13:53:44 UTC;-38.510.018;-384.594.469;ESTRADA DO FIO, 72, COACU, EUSEBIO - CE 61760000;Não;;
BEZ;CE;FORTALEZA;BEZERRA DE MENEZES;Geosite;Instalado;2019-11-01 17:27:54 UTC;2019-11-01 17:31:42 UTC;-37.329.573;-385.437.981;;Não;Sala;EST/BEZ/NI/NI
HJE;CE;FORTALEZA;HENRIQUE JORGE;Geosite;Instalado;2019-11-08 14:16:58 UTC;2019-11-11 11:19:25 UTC;-37.586.952;-385.871.776;;Não;Sala;EST/HJE/NI/NI
SFO;MA;SAO LUIS;SÃƒO FRANCISCO;Geosite;Instalado;2019-11-25 20:49:33 UTC;2019-11-25 20:50:13 UTC;-25.067.811;-442.984.988;;Não;Sala;EST/SFO/NI/NI
ALG;RS;ALEGRETE;ALEGRETE;Netwin;Instalado;2021-05-06 18:04:42 UTC;2021-05-07 13:30:16 UTC;-29.783.337;-557.933.082;RUA GASPAR MARTINS, 179, CENTRO, ALEGRETE - RS 97542000 ;Não;Sala, Sala, Sala, Sala;ANDAR/ALG/01/TX, ANDAR/ALG/03/TX, EST/ALG/NI/NI, GPON
AGV;RS;ALVORADA;JARDIM ALGARVE;Netwin;Instalado;2016-08-21 15:07:06 UTC;2016-08-21 15:07:06 UTC;-295.924;-51.51;;Não;Sala, Sala;ANDAR/AGV/01/TX, ANDAR/AGV/TT/TX
AVA;RS;ALVORADA;ALVORADA;Netwin;Instalado;2014-04-05 22:18:51 UTC;2019-09-04 17:29:15 UTC;-299.961.738;-51.075.759;RUA SANTIAGO, 236, SUMARE, ALVORADA - RS 94824130 ;Não;Sala, Sala, Sala, Sala, Sala;ANDAR/AVA/01/TX, ANDAR/AVA/TT/TX, EST/AVA/NI/NI
